nombre,limpieza 
Aduana Presidential,140
Alameda Butterfly,85
Alameda Colon,160
Alamos 40,60
Alcazaba,80
Amazonia Center Apartment,70
Arenal Superior Beach,150
Art&Light,140
Atarazanas Executive,65
Atico Aduana Imperial,400
Atico Cervantes,60
Atico Garcia Briz,80
Atico Marina,70
Balcón de Neri,80
Blue Bay Apartment,65
Blue Bay Penthouse,65
Boho Chic Apartment,140
Carcer Apartment,60
Carreteria 101,60
Carreteria 102,60
Carreteria 103,60
Carreteria 201,60
Carreteria 202,60
Carreteria 203,60
Carreteria 301,60
Carreteria 302,60
Carreteria 303,60
Carreteria 401,60
Carreteria 402,60
Cathedral Boutique,60
Central Haven,60
Chillout Garden Deluxe,100
Calderón 2100,80
Calderón 2101,65
Calderón 2200,80
Calderón 2201,65
Calderón 2300,80
Calderón 2301,65
Calderón 2400,80
Calderón 2401,65
City Views Terrace,70
Echegaray,140
El Escondite Triplex,90
Enjoy Apartment,70
Evergreen Center Apartment,80
Golden Suite,60
Green Harmony Center,60
Guevara Apartment,70
High Street 20,80
Infinity Views Penthouse,120
Juan de Austria 1A,80
Juan de Austria 1B,80
Juan de Austria 2A,80
Juan de Austria 2B,80
Juan de Austria 3A,80
Juan de Austria 3B,80
La Dolce Vita,70
La Galerie Apartment,100
Le Coquet Center Apartment,60
Majestic Granada Street,130
Malaga Centre Premium,80
Malaga Serenity,60
Mariblanca Bajo A,50
Mariblanca Bajo B,50
Mariblanca 1A Balcón Exterior,50
Mariblanca 1B Balcón Exterior,50
Mariblanca 1C Superior,50
Mariblanca 1D Superior,50
Mariblanca 2A Balcon Exterior,50
Mariblanca 2B Balcón Exterior,50
Mariblanca 2C Duplex,50
Mariblanca 2D Duplex,50
Marin Central View,120
Marin Sky,60
Mariscal Centre Apartment,80
Mediterranean Dream Penthouse,100
Mi Carmela Beach,80
Miramar Luxe Beach,120
Molina Lario,60
Monte Sancha Deluxe,180
Muelle Uno 2F apartamento,60
Muelle Uno 5F apartamento,60
Muelle Uno 10A estudio,50
Muelle Uno 2A estudio,50
Muelle Uno 3A estudio,50
Muelle Uno 5A estudio,50
Nereo Studio 1A,60
Nereo Studio 1B,60
Nereo Apartment,80
New Marina Square,60
New Oasis Supreme,80
Ocean Glow,120
Ollerias Centre Apartment,120
Pacific Terrace Apartment,100
Pedregalejo Loft,70
Picasso Apartment,120
Plaza de las Cofradias,80
Prime Luxe 1D Studio,60
Prime Luxe Balcony 1A,60
Prime Luxe Balcony 3A,60
Prime Luxe 1B 2 Bedrooms,80
Reding 8 Terrace,140
Rustic Chic,60
Seafront Duplex,160
Seaside apartment 3,50
Seaside apartment 4,50
Seaside Duplex 1,75
Seaside Duplex 2 Terrace,75
Sea at the City Villa,160
Sea Breeze,120
Shining Beetle,100
Sky Garden Duplex,140
Skyline 2,60
Skyline 3,60
Skyline Rooftop Jacuzzi,60
Skyline Jacuzzi,60
Skyline Triplex,90
Soho Vibes,100
Soho Centre Experience,110
Soho Orangerie Deluxe,90
Spring Boutique Apartment,60
Studio Bohčme Málaga,60
Stylish Monroy,140
Suite Flamingo,60
Suite San Francisco,60
Sun&Terrace Penthouse,140
Terraza Andaluza,60
The Dowtown Apartment,100
The Eagle Wings,80
Theatre Square Terrace,160
The Secret Studio,60
Tower Horizon,60
Union Central,80
Uncibay Selvatique Apartment,100
Urban Chic 1,60
Urban Chic 3A,60
Urban Chic 3B,100
Urban Chic Apartment (2B),100
Urban Penthouse Terrace,130
Victoria Center Apartment,80
Woodland Oasis Center,60
